company,domain,breach_date,records_affected,data_classes,industry,risk_score
ABFRL,abfrl.com,2021-12-01,5470063,"['Email addresses', 'Genders', 'Income levels', 'Job titles', 'Marital statuses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases', 'Religions', 'Salutations']",Technology,5
Adobe,adobe.com,2013-10-04,152445165,"['Email addresses', 'Password hints', 'Passwords', 'Usernames']",Technology,5
AdoptMeTradingValues,adoptmetradingvalues.com,2022-07-01,86136,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,4
Adpost,adpost.com,2025-02-14,3339512,"['Email addresses', 'Names', 'Usernames']",Technology,4
AdultFriendFinder,adultfriendfinder.com,2015-05-21,3867997,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Races', 'Relationship statuses', 'Sexual orientations', 'Spoken languages', 'Usernames']",Technology,4
AdultFriendFinder2016,adultfriendfinder.com,2016-10-16,169746810,"['Email addresses', 'Passwords', 'Spoken languages', 'Usernames']",Technology,5
AdultFanFiction,adult-fanfiction.org,2018-05-30,186082,"['Dates of birth', 'Email addresses', 'Names', 'Passwords']",Technology,5
AdvanceAutoParts,advanceautoparts.com,2024-06-05,79243727,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,5
AerServ,aerserv.com,2018-04-01,66308,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,4
AgusiQTorrents,agusiq-torrents.pl,2019-09-24,90478,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,4
AhaShare,ahashare.com,2013-05-30,180468,"['Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Partial dates of birth', 'Passwords', 'Usernames', 'Website activity']",Technology,5
AIType,aitype.com,2017-12-05,20580060,"['Address book contacts', 'Apps installed on devices', 'Cellular network names', 'Dates of birth', 'Device information', 'Email addresses', 'Genders', 'Geographic locations', 'IMEI numbers', 'IMSI numbers', 'IP addresses', 'Names', 'Phone numbers', 'Profile photos', 'Social media profiles']",Technology,5
Aimware,aimware.net,2019-04-28,305470,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']",Technology,5
Aipai,aipai.com,2016-09-27,6496778,"['Email addresses', 'Passwords']",Technology,5
Ajarn,ajarn.com,2018-12-13,266399,"['Dates of birth', 'Education levels', 'Email addresses', 'Genders', 'Geographic locations', 'Job applications', 'Marital statuses', 'Names', 'Nationalities', 'Passwords', 'Phone numbers', 'Profile photos']",Technology,5
AKP,akparti.org.tr,2016-07-19,917461,"['Email addresses', 'Email messages']",Technology,3
AlienStealerLogs,,2025-02-15,284132969,"['Email addresses', 'Passwords']",Technology,5
AllianzLife,allianzlife.com,2025-07-16,1115061,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
AlpineReplay,traceup.com,2019-08-27,898681,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Physical attributes', 'Usernames']",Technology,5
Altenen,altenens.is,2022-06-24,1267701,"['Cryptocurrency wallet addresses', 'Email addresses', 'Passwords', 'Usernames']",Technology,5
AmartFurniture,amartfurniture.com.au,2022-05-16,108940,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
Ancestry,ancestry.com,2015-11-07,297806,"['Email addresses', 'Passwords']",Technology,5
AndroidForums,androidforums.com,2011-10-30,745355,"['Dates of birth', 'Email addresses', 'Homepage URLs', 'Instant messenger identities', 'IP addresses', 'Passwords']",Technology,5
AndroidLista,androidlista.com,2021-07-28,6640643,"['Email addresses', 'Names', 'Passwords', 'Usernames']",Technology,5
AnimalJam,animaljam.com,2020-10-12,7104998,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Physical addresses', 'Usernames']",Technology,5
AnimeGame,animegame.me,2020-02-27,1431378,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Animeify,animeify.net,2021-10-14,808034,"['Email addresses', 'Genders', 'Names', 'Passwords', 'Usernames']",Technology,5
AnimeLeague,animeleague.net,2024-07-04,192134,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Phone numbers', 'Private messages', 'Purchases', 'Usernames']",Technology,5
AnimePlanet,anime-planet.com,2016-01-01,368507,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Animoto,animoto.com,2018-07-10,22437749,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Names', 'Passwords']",Technology,5
AntiPublic,,2016-12-16,457962538,"['Email addresses', 'Passwords']",Technology,5
ApexSMS,,2019-04-15,23246481,"['Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Names', 'Phone numbers', 'Telecommunications carrier']",Technology,5
APKTW,apk.tw,2022-09-03,2451197,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Apollo,apollo.io,2018-07-23,125929660,"['Email addresses', 'Employers', 'Geographic locations', 'Job titles', 'Names', 'Phone numbers', 'Salutations', 'Social media profiles']",Technology,5
Appartoo,appartoo.com,2017-03-25,49681,"['Ages', 'Auth tokens', 'Email addresses', 'Employment statuses', 'Genders', 'IP addresses', 'Marital statuses', 'Names', 'Passwords', 'Physical addresses', 'Private messages', 'Social media profiles']",Technology,4
Appen,appen.com,2020-06-22,5888405,"['Email addresses', 'Employers', 'IP addresses', 'Names', 'Passwords', 'Phone numbers']",Technology,5
Aptoide,aptoide.com,2020-04-13,20012235,"['Browser user agent details', 'Email addresses', 'IP addresses', 'Names', 'Passwords']",Technology,5
ArmorGames,armorgames.com,2019-01-01,10604307,"['Bios', 'Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
ArmyForceOnline,armyforceonline.com,2016-05-18,1531235,"['Avatars', 'Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']",Technology,5
ArtistsNClients,artistsnclients.com,2025-08-31,95351,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,4
Artsy,artsy.net,2018-04-01,1079970,"['Email addresses', 'IP addresses', 'Names', 'Passwords']",Technology,5
Artvalue,artvalue.com,2019-06-19,157692,"['Email addresses', 'Names', 'Passwords', 'Salutations', 'Usernames']",Technology,5
AshleyMadison,ashleymadison.com,2015-07-19,30811934,"['Dates of birth', 'Email addresses', 'Ethnicities', 'Genders', 'Names', 'Passwords', 'Payment histories', 'Phone numbers', 'Physical addresses', 'Security questions and answers', 'Sexual orientations', 'Usernames', 'Website activity']",Technology,5
AstroPID,astropid.com,2013-12-19,5788,"['Email addresses', 'Instant messenger identities', 'IP addresses', 'Names', 'Passwords', 'Private messages', 'Usernames', 'Website activity']",Technology,4
AllegedATT,,2021-08-20,49102176,"['Dates of birth', 'Email addresses', 'Government issued IDs', 'Names', 'Phone numbers', 'Physical addresses']",Technology,5
Aternos,aternos.org,2015-12-06,1436486,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
AtlasQuantum,atlasquantum.com,2018-08-25,261463,"['Account balances', 'Email addresses', 'Names', 'Phone numbers']",Technology,3
Atmeltomo,atmeltomo.com,2021-04-16,580177,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Audi,audiusa.com,2019-08-14,2743539,"['Dates of birth', ""Driver's licenses"", 'Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Social security numbers', 'Vehicle details']",Technology,5
Autocentrum,autocentrum.pl,2018-02-04,143717,"['Email addresses', 'Passwords']",Technology,5
Autotrader,autotrader.com,2023-01-06,20032,"['Email addresses', 'Phone numbers', 'Physical addresses', 'Vehicle details', 'Vehicle identification numbers (VINs)']",Technology,2
Avast,avast.com,2014-05-26,422959,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Avito,avito.ma,2022-11-18,2721835,"['Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Phone numbers']",Technology,4
Avvo,avvo.com,2019-12-17,4101101,"['Email addresses', 'Passwords']",Technology,5
B2BUSABusinesses,,2017-07-18,105059554,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']",Technology,5
BabyNames,babynames.com,2008-10-24,846742,"['Email addresses', 'Passwords']",Technology,5
Badoo,badoo.com,2013-06-01,112005531,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Usernames']",Technology,5
BannerBit,bannerbit.com,2018-12-29,213415,"['Email addresses', 'Passwords']",Technology,5
Banorte,banorte.com,2014-08-18,2107000,"['Account balances', 'Email addresses', 'Genders', 'Government issued IDs', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
BattlefieldHeroes,battlefieldheroes.com,2011-06-26,530270,"['Passwords', 'Usernames']",Technology,3
Battlefy,battlefy.com,2016-01-11,83610,"['Email addresses', 'Passwords', 'Usernames']",Technology,4
BeautifulPeople,beautifulpeople.com,2015-11-11,1100089,"['Beauty ratings', 'Car ownership statuses', 'Dates of birth', 'Drinking habits', 'Education levels', 'Email addresses', 'Genders', 'Geographic locations', 'Home ownership statuses', 'Income levels', 'IP addresses', 'Job titles', 'Names', 'Passwords', 'Personal descriptions', 'Personal interests', 'Physical attributes', 'Sexual orientations', 'Smoking habits', 'Website activity']",Technology,5
Bell,bell.ca,2014-02-01,20902,"['Credit cards', 'Genders', 'Passwords', 'Usernames']",Technology,4
Bell2017,bell.ca,2017-05-15,2231256,"['Email addresses', 'Geographic locations', 'IP addresses', 'Job titles', 'Names', 'Passwords', 'Phone numbers', 'Spoken languages', 'Survey results', 'Usernames']",Technology,5
Benchmark,benchmark.rs,2019-11-01,93343,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,4
Bestialitysextaboo,bestialitysextaboo.com,2018-03-19,3204,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']",Technology,4
Bhinneka,bhinneka.com,2020-01-27,1274340,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
bigbasket,bigbasket.com,2020-10-14,24500011,"['Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
BigMoneyJobs,bigmoneyjobs.com,2014-04-03,36789,"['Career levels', 'Education levels', 'Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Salutations', 'User website URLs', 'Website activity']",Technology,4
BinWeevils,binweevils.com,2014-09-01,1287073,"['Ages', 'Email addresses', 'Genders', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
BiohackMe,biohack.me,2016-12-02,3402,"['Email addresses', 'Passwords', 'Private messages', 'Usernames']",Technology,4
BTSec,forum.btcsec.com,2014-01-09,4789599,"['Email addresses', 'Passwords']",Technology,5
BitcoinTalk,bitcointalk.org,2015-05-22,501407,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Passwords', 'Security questions and answers', 'Usernames', 'Website activity']",Technology,5
Bitly,bitly.com,2014-05-08,9313136,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
BitTorrent,bittorrent.com,2016-01-01,34235,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,4
BitView,bitview.net,2024-12-14,63127,"['Bios', 'Comments', 'Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']",Technology,4
BlackHatWorld,blackhatworld.com,2014-06-23,777387,"['Dates of birth', 'Email addresses', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
BlackBerryFans,blackberryfans.org,2022-05-06,174168,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
BlackSpigotMC,blackspigot.com,2019-07-14,140029,"['Device information', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
BlankMediaGames,blankmediagames.com,2018-12-28,7633234,"['Browser user agent details', 'Email addresses', 'IP addresses', 'Passwords', 'Purchases', 'Usernames', 'Website activity']",Technology,5
BleachAnime,bleachanime.org,2015-01-01,143711,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
BloomsToday,bloomstoday.com,2023-11-11,3184010,"['Email addresses', 'Names', 'Partial credit card data', 'Phone numbers', 'Physical addresses']",Technology,4
boAt,boat-lifestyle.com,2024-03-25,7528985,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
Bolt,bolt.cd,2017-03-01,995274,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
BombujEu,bombuj.eu,2018-12-07,575437,"['Email addresses', 'Passwords']",Technology,5
Bonobos,bonobos.com,2020-08-14,2811929,"['Email addresses', 'Historical passwords', 'IP addresses', 'Names', 'Partial credit card data', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,5
Bookchor,bookchor.com,2021-01-28,498297,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Social media profiles']",Technology,5
BookCrossing,bookcrossing.com,2012-11-05,1582323,"['Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Usernames']",Technology,5
Bookmate,bookmate.com,2018-07-08,3830916,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords', 'Usernames']",Technology,5
BotOfLegends,botoflegends.com,2014-11-13,238373,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
Boulanger,boulanger.com,2024-09-06,2077078,"['Email addresses', 'Geographic locations', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
BourseDesVols,bourse-des-vols.com,2021-01-12,1460130,"['Dates of birth', 'Email addresses', 'Flights taken', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,4
BouyguesTelecom,bouyguestelecom.fr,2025-08-04,5685771,"['Bank account numbers', 'Dates of birth', 'Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
Boxee,forums.boxee.com,2014-03-29,158093,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Historical passwords', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Private messages', 'User website URLs', 'Usernames']",Technology,5
BrandNewTube,brandnewtube.com,2022-08-14,349627,"['Email addresses', 'Genders', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']",Technology,5
Brazzers,brazzers.com,2013-04-01,790724,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
BreachForums,breached.vc,2022-11-29,212156,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']",Technology,5
BreachForumsClone,breachforums.vc,2023-06-17,4204,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,4
BTCAlpha,btc-alpha.com,2021-11-02,362426,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
BTCE,btc-e.com,2014-10-01,568340,"['Account balances', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
BtoBet,btobet.com,2019-12-26,444241,"['Dates of birth', 'Email addresses', 'Financial transactions', 'Geographic locations', 'IP addresses', 'Names', 'Usernames']",Technology,3
BudTrader,budtrader.com,2024-06-27,2721185,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Bukalapak,bukalapak.com,2017-10-23,13369666,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Usernames']",Technology,5
BulgarianNationalRevenueAgency,nap.bg,2019-07-15,471167,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Taxation records']",Technology,3
BusinessAcumen,businessacumen.biz,2014-04-25,26596,"['Email addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']",Technology,4
CafeMom,cafemom.com,2014-04-10,2628148,"['Email addresses', 'Passwords']",Technology,5
CafePress,cafepress.com,2019-02-20,23205290,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
CannabisForum,cannabis.com,2014-02-05,227746,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Historical passwords', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']",Technology,5
Canva,canva.com,2019-05-24,137272116,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Usernames']",Technology,5
CapialEconomics,capitaleconomics.com,2020-12-12,263829,"['Email addresses', 'Employers', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
CardingMafiaDec2021,cardmafia.cc,2021-12-28,303877,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
CardingMafia,cardmafia.cc,2021-03-18,297744,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
CashCrate,cashcrate.com,2016-11-17,6844490,"['Email addresses', 'Names', 'Passwords', 'Physical addresses']",Technology,5
Catho,catho.com.br,2020-03-01,1173012,"['Email addresses', 'Names', 'Passwords', 'Usernames']",Technology,5
Catwatchful,catwatchful.com,2025-06-09,61641,"['Email addresses', 'Passwords']",Technology,4
CDProjektRed,cdprojektred.com,2016-03-01,1871373,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
CDEK,cdek.ru,2022-03-09,19218203,"['Email addresses', 'Names', 'Phone numbers']",Technology,5
CentralTickets,centraltickets.co.uk,2024-07-01,722860,"['Device information', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Purchases']",Technology,5
Chatbooks,chatbooks.com,2020-03-26,2520441,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Social media profiles']",Technology,5
CheapAssGamer,cheapassgamer.com,2015-07-01,444767,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Chegg,chegg.com,2018-04-28,39721127,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']",Technology,5
Chess,chess.com,2023-11-08,827620,"['Email addresses', 'Geographic locations', 'Names', 'Usernames']",Technology,3
Chowbus,chowbus.com,2020-10-05,444224,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
ChrisLeong,chrisleong.com,2024-08-10,27096,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Nationalities', 'Phone numbers', 'Physical addresses', 'Purchases', 'Social media profiles']",Technology,2
Cit0day,cit0day.in,2020-11-04,226883414,"['Email addresses', 'Passwords']",Technology,5
CityBee,citybee.lt,2021-02-05,110156,"['Email addresses', 'Government issued IDs', 'Names', 'Passwords']",Technology,5
CityJerks,cityjerks.com,2023-02-27,177554,"['Bios', 'Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Private messages', 'Profile photos', 'Sexual orientations', 'Usernames']",Technology,5
CivilOnline,co188.com,2011-07-10,7830195,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,5
ClashOfKings,f.elex.com,2016-07-14,1604957,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
ClearVoiceSurveys,clearvoicesurveys.com,2015-08-23,15074786,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
ClickASnap,clickasnap.com,2022-09-24,3262980,"['Email addresses', 'Names', 'Passwords', 'Physical addresses', 'Purchases', 'Social media profiles', 'Usernames']",Technology,5
ClixSense,clixsense.com,2016-09-04,2424784,"['Account balances', 'Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Payment histories', 'Payment methods', 'Physical addresses', 'Usernames', 'Website activity']",Technology,5
CloudPets,cloudpets.com,2017-01-01,583503,"['Email addresses', ""Family members' names"", 'Passwords']",Technology,5
ClubPenguinRewritten,cprewritten.net,2018-01-21,1688176,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
ClubPenguinRewrittenJul2019,cprewritten.net,2019-07-27,4007909,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Coachella,coachella.com,2017-02-22,599802,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Cocospy,cocospy.com,2025-02-14,1798059,['Email addresses'],Technology,4
Coinmama,coinmama.com,2017-08-03,478824,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
CoinMarketCap,coinmarketcap.com,2021-10-12,3117548,['Email addresses'],Retail,4
CoinTracker,cointracker.io,2022-12-01,1557153,"['Email addresses', 'Partial phone numbers']",Technology,4
Collection1,,2019-01-07,772904991,"['Email addresses', 'Passwords']",Technology,5
ColoCrossing,colocrossing.com,2025-05-24,7183,"['Email addresses', 'Names', 'Passwords']",Technology,4
ColorDating,colordatingapp.com,2018-09-05,220503,"['Bios', 'Dates of birth', 'Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Profile photos']",Technology,5
TelegramCombolists,,2024-05-28,361468099,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
Comcast,comcast.net,2015-11-08,616882,"['Email addresses', 'Passwords', 'Physical addresses']",Technology,5
COMELEC,comelec.gov.ph,2016-03-27,228605,"['Biometric data', 'Dates of birth', 'Email addresses', ""Family members' names"", 'Genders', 'Job titles', 'Marital statuses', 'Names', 'Passport numbers', 'Phone numbers', 'Physical addresses', 'Physical attributes']",Government,3
CondoCom,condo.com,2019-06-01,1481555,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,4
Convex,convex.ru,2023-02-01,150129,"['Email addresses', 'IP addresses', 'Names', 'Phone numbers']",Technology,3
CouponMomAndArmorGames,,2014-02-08,11010525,"['Email addresses', 'Passwords']",Technology,5
db8151dd,covve.com,2020-02-20,22802117,"['Email addresses', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses', 'Social media profiles']",Technology,5
CrackCommunity,crackcommunity.com,2013-09-09,19210,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']",Technology,4
CrackedTO,cracked.to,2019-07-21,749161,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']",Technology,5
CrackingForum,crackingforum.com,2016-07-01,660305,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
CraftRise,craftrise.com.tr,2022-03-05,2532527,"['Email addresses', 'Geographic locations', 'Passwords', 'Usernames']",Technology,5
CreamsCafe,creamscafe.com,2025-05-01,159652,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses']",Technology,3
Creative,creative.com,2018-05-01,483015,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
CrimeAgencyVBulletin,,2017-01-19,942044,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
CrossFire,cfire.mail.ru,2016-08-08,12865609,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
CTARS,ctars.com.au,2021-05-21,12314,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Personal health data', 'Phone numbers', 'Physical addresses', 'Salutations', 'Usernames']",Technology,4
Cultura,cultura.com,2024-09-06,1462025,"['Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases']",Technology,4
CutoutPro,cutout.pro,2024-02-26,19972829,"['Email addresses', 'IP addresses', 'Names', 'Passwords']",Technology,5
CyberServe,cyberserve.co.il,2021-10-29,1107034,"['Dates of birth', 'Drinking habits', 'Email addresses', 'Family structure', 'Genders', 'Geographic locations', 'HIV statuses', 'IP addresses', 'Names', 'Passwords', 'Personal health data', 'Phone numbers', 'Physical attributes', 'Private messages', 'Profile photos', 'Religions', 'Sexual orientations', 'Smoking habits', 'Usernames']",Technology,5
D3scene,d3scene.com,2016-01-01,568827,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
DaFont,dafont.com,2017-05-16,637340,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
DailyQuiz,dailyquiz.me,2021-01-13,8032404,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']",Technology,5
Dailymotion,dailymotion.com,2016-10-20,85176234,"['Email addresses', 'Passwords', 'Usernames']",Technology,5
DailyObjects,dailyobjects.com,2018-01-01,464260,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']",Technology,5
Dangdang,dangdang.com,2011-06-01,4848734,['Email addresses'],Technology,4
DaniWeb,daniweb.com,2015-12-01,1131636,"['Email addresses', 'IP addresses', 'Passwords']",Technology,5
DataAndLeads,datanleads.com,2018-11-14,44320330,"['Email addresses', 'Employers', 'IP addresses', 'Job titles', 'Names', 'Phone numbers', 'Physical addresses']",Technology,5
PDL,,2019-10-16,622161052,"['Email addresses', 'Employers', 'Geographic locations', 'Job titles', 'Names', 'Phone numbers', 'Social media profiles']",Technology,5
